Page total likes,Type,Post Month,Post Weekday,Post Hour,Paid,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Engaged Users,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,comment,like,share,Total Interactions
138895,Photo,12,7,10,1,19800,28663,479,5187,2752,248,16,76,8,100
138895,Status,12,7,9,0,17576,33058,5352,23135,11792,4104,11,227,31,269
138895,Photo,12,7,3,0,3290,6085,306,4986,2584,247,1,44,14,59
138895,Status,12,6,11,0,13280,24198,2055,17627,9344,1716,7,216,39,262
138895,Link,12,6,3,1,18480,28438,517,12078,6752,319,6,187,18,211
138353,Photo,12,5,10,0,7268,13989,2087,13544,7096,1975,7,26,3,36
138353,Link,12,5,3,1,2645,4270,134,2330,1377,101,7,29,10,46
138353,Photo,12,4,11,0,4284,8387,355,7283,3634,291,0,47,11,58
138353,Link,12,4,3,1,7968,13023,206,6734,3492,138,4,57,10,71
138353,Status,12,3,11,0,16576,30612,3572,24363,12888,3014,4,174,36,214
138353,Link,12,3,2,0,1925,3481,97,2307,1180,77,6,18,8,32
138353,Photo,12,2,11,0,3786,7329,338,6336,3216,280,0,77,15,92
138353,Link,12,2,2,0,1536,3094,84,2903,1407,76,1,12,1,14
138353,Photo,11,1,9,0,1728,3155,108,2313,1232,77,1,48,9,58
138329,Photo,11,1,3,1,25248,40125,726,16132,8608,451,24,285,28,337
138329,Photo,11,7,9,0,4894,8899,355,4914,2712,246,9,202,31,242
138329,Photo,11,7,3,0,2935,5439,237,3901,2044,201,4,64,19,87
138329,Photo,11,6,10,0,2425,4462,260,3017,1510,175,4,66,13,83
138329,Video,11,6,2,1,16416,31950,459,21436,9568,363,2,65,14,81
138329,Photo,11,5,11,0,5812,10465,343,4976,2764,240,2,164,54,220
138329,Photo,11,5,3,0,2545,4846,165,3675,1901,134,0,40,13,53
138329,Photo,11,4,10,0,2257,4372,230,3188,1557,168,3,76,11,90
138329,Photo,11,4,3,1,27072,84885,421,35637,9712,263,4,139,17,160
138185,Photo,11,3,11,1,10940,27951,417,15066,5100,319,8,101,14,123
138185,Photo,11,3,2,1,50912,164528,630,54653,12704,346,8,144,10,162
138185,Photo,11,2,10,1,28752,47358,802,14091,7456,408,10,179,13,202
138185,Photo,11,2,3,1,27216,81908,541,26869,7760,315,4,219,22,245
138185,Photo,11,1,10,0,2352,5234,232,4101,1761,181,2,60,7,69
138185,Photo,11,1,3,0,3416,6167,356,4530,2388,280,19,77,23,119
138185,Photo,11,7,11,0,2149,4120,197,3302,1640,161,0,48,7,55
138185,Photo,11,7,3,1,53456,93790,1576,32646,14912,884,20,697,70,787
138185,Photo,11,6,11,0,2168,3891,211,2873,1539,171,0,53,17,70
137893,Photo,11,6,3,0,3102,5939,360,3537,1780,275,7,84,28,119
137893,Photo,11,5,10,1,39344,103050,588,39304,11392,336,7,146,9,162
137893,Video,11,5,3,1,100768,220447,2101,59658,18880,885,17,449,84,550
137893,Status,11,4,11,0,9056,16362,1006,9562,5180,740,3,226,44,273
137893,Photo,11,4,2,1,11444,46054,555,13737,4320,438,14,172,47,233
137893,Video,11,3,11,0,13544,30235,517,26622,11760,447,2,99,13,114
137893,Photo,11,3,2,1,37376,68610,1150,22100,10880,724,20,411,74,505
137893,Photo,11,3,2,0,1228,2392,17,2392,1228,17,0,0,0,0
137177,Photo,11,1,10,0,22984,59040,438,12716,4968,262,4,85,8,97
137177,Photo,11,1,3,0,1445,2774,217,1924,1005,154,0,56,8,64
137177,Photo,11,7,12,0,3754,8533,658,6838,3224,598,2,29,7,38
137177,Status,11,7,3,0,8728,17827,2295,15418,7344,2099,2,86,13,101
137177,Photo,11,6,10,0,5990,11123,657,5057,2628,428,18,370,53,441
137177,Photo,11,6,3,0,4582,9193,454,3691,1722,305,5,190,57,252
137177,Photo,11,5,10,1,2938,5799,321,3668,1848,236,2,101,19,122
137177,Status,11,5,2,0,6692,13092,199,7549,3336,156,2,99,16,117
137177,Photo,11,4,9,1,2566,5244,384,3834,1806,266,10,140,8,158
137177,Link,11,4,3,0,21176,54779,330,13858,5248,185,2,130,31,163
137177,Photo,11,3,10,0,4012,7955,550,4625,2218,403,3,270,38,311
137177,Photo,11,3,3,0,1531,2838,212,1210,690,143,3,30,6,39
137059,Photo,11,2,11,1,2938,6056,374,4509,2078,287,2,107,17,126
137059,Photo,11,2,3,0,24720,37240,845,14475,8120,504,13,331,77,421
137059,Photo,11,1,9,0,2219,4545,287,3189,1495,221,0,78,13,91
137059,Photo,11,1,3,0,4732,9303,607,6201,3136,445,9,301,32,342
137059,Photo,11,7,9,0,2225,4239,310,2570,1389,233,2,111,16,129
137059,Photo,11,7,4,0,2626,4943,316,3047,1605,244,2,124,22,148
137059,Photo,10,6,10,0,3090,5744,391,3521,1796,293,5,153,27,185
137059,Photo,10,6,3,0,1101,2548,324,1284,704,220,3,51,11,65
137059,Photo,10,5,11,0,2819,5230,318,3128,1622,240,1,115,26,142
137020,Status,10,5,3,1,12468,24917,2143,15850,7636,1661,7,310,61,378
137020,Photo,10,4,10,0,12776,21893,785,13272,7800,575,12,328,90,430
137020,Photo,10,4,9,1,1357,2453,37,2154,1120,32,0,0,0,0
137020,Photo,10,4,3,0,68896,104952,2624,35707,19840,1354,26,1505,95,1626
137020,Photo,10,3,10,0,1711,3174,288,2226,1118,205,2,63,14,79
137020,Photo,10,3,4,0,1388,2544,224,2161,1214,172,0,13,4,17
137020,Photo,10,2,11,1,2645,5472,357,4485,2101,265,4,59,9,72
137020,Photo,10,2,4,0,70144,111745,3216,43671,20608,1542,42,955,139,1136
137020,Photo,10,1,11,0,3674,7221,452,3832,1890,328,9,181,32,222
136736,Status,10,1,4,0,9504,19556,1132,16018,7616,981,17,193,28,238
136736,Photo,10,7,9,0,2426,4469,320,3120,1684,248,7,125,16,148
136736,Status,10,7,3,0,13872,27468,2664,20198,10432,2252,4,217,50,271
136736,Photo,10,6,10,0,1673,3655,338,2598,1469,268,2,28,4,34
136736,Photo,10,6,8,0,1261,2158,37,1911,1077,33,0,,,0
136736,Photo,10,6,4,0,2428,4510,311,2888,1560,236,4,117,18,139
136642,Photo,10,1,3,1,2227,4070,369,3227,1702,306,2,79,16,97
136642,Photo,10,7,13,0,1592,2749,370,2551,1454,327,0,15,2,17
136642,Photo,10,7,12,1,813,1568,323,1402,695,280,0,4,2,6
136642,Photo,10,7,12,0,32208,57472,1810,56149,31648,1724,1,431,26,458
136642,Photo,10,7,11,0,729,1374,303,1284,650,262,0,7,0,7
136642,Photo,10,7,10,0,834,1570,399,1390,704,351,0,7,2,9
136393,Photo,10,7,10,0,786,1573,263,1401,660,222,0,6,2,8
136393,Photo,10,7,9,0,584,1029,273,943,511,232,0,2,,2
136393,Status,10,7,9,0,15816,30514,2733,23584,11912,2361,6,186,40,232
136393,Photo,10,7,8,0,619,1096,257,951,516,217,1,1,2,4
136393,Photo,10,7,7,0,617,1071,229,935,521,191,1,3,2,6
136393,Photo,10,7,6,0,677,1285,251,1210,615,211,0,7,,7
136393,Photo,10,7,5,0,677,1240,236,1098,580,196,0,7,2,9
136393,Photo,10,7,3,0,3366,6647,474,3180,1674,385,3,198,41,242
136393,Photo,10,6,13,0,747,1443,226,1252,632,194,0,9,1,10
136393,Photo,10,6,13,0,645,1117,195,989,554,166,0,4,1,5
136393,Photo,10,6,12,0,754,1510,206,1430,690,175,0,3,0,3
136393,Photo,10,6,11,0,910,1673,207,1503,782,176,0,8,2,10
136393,Photo,10,6,9,0,3906,8239,868,7736,3768,774,0,7,3,10
136393,Photo,10,6,9,0,659,1158,199,1041,576,169,1,7,2,10
136393,Photo,10,6,8,0,652,1331,214,1249,588,182,0,11,1,12
136393,Photo,10,6,6,0,861,1565,214,1351,717,180,2,28,4,34
136393,Photo,10,6,2,0,3690,7659,424,6951,3290,377,0,56,12,68
136393,Link,10,5,10,0,4664,9463,204,7196,3324,173,0,32,16,48
136013,Photo,10,5,8,0,1080,2427,210,2195,934,184,4,32,3,39
136013,Status,10,5,3,0,8896,17202,1480,13838,7020,1292,0,129,25,154
136013,Photo,10,4,10,1,4018,8617,428,6677,2992,351,4,77,19,100
136013,Link,10,4,3,0,68992,229733,1032,17842,8032,635,15,143,44,202
136013,Status,10,3,10,0,13152,25666,2543,20547,10280,2278,2,227,36,265
136013,Status,10,3,2,1,31136,59964,6164,35977,18048,4376,60,859,90,1009
136013,Photo,10,2,10,1,16776,39549,714,11860,6200,590,10,377,60,447
136013,Photo,10,2,3,1,50736,140432,1462,46252,15552,1275,3,41,9,53
136013,Photo,10,1,10,1,5324,11040,528,8627,4054,448,6,76,14,96
136013,Photo,10,1,3,0,18120,44940,421,4401,2616,327,0,189,15,204
135713,Photo,10,7,10,0,2291,3960,303,3020,1723,253,0,80,14,94
135713,Status,10,7,4,0,10744,20691,1967,17502,8964,1834,3,148,28,179
135713,Link,10,6,11,1,3616,6887,111,4263,2138,93,0,24,11,35
135713,Photo,10,6,4,0,39984,112830,2105,70249,21328,1609,24,302,41,367
135713,Photo,10,5,11,0,4010,7444,477,4406,2362,354,2,166,32,200
135713,Photo,10,5,4,1,6564,12097,806,7682,4024,563,47,358,49,454
135713,Photo,10,4,10,0,8612,20151,813,16890,7208,630,7,161,25,193
135713,Photo,10,4,1,0,5568,10282,746,5696,3162,537,13,319,55,387
135700,Photo,9,3,7,0,1685,2999,322,1794,953,237,0,54,16,70
135700,Photo,9,2,11,0,3756,7094,469,4935,2556,365,16,117,30,163
135700,Photo,9,2,2,0,2656,4862,390,3273,1722,309,1,115,21,137
135700,Photo,9,1,10,0,5086,9493,622,6200,3298,489,30,187,35,252
135617,Photo,9,1,3,1,2055,3915,346,2970,1507,277,1,84,13,98
135617,Photo,9,7,9,0,9384,14948,757,11148,7020,604,6,363,40,409
135617,Photo,9,7,3,0,3992,7255,598,4428,2420,435,6,244,32,282
135617,Photo,9,6,10,0,7512,13633,769,5503,3260,530,22,290,98,410
135617,Status,9,6,4,0,11096,21080,1843,16095,8120,1604,4,243,41,288
135428,Photo,9,5,10,0,1060,2004,266,1705,870,204,0,18,,18
135428,Photo,9,5,3,1,2790,4879,435,3501,1999,351,0,113,19,132
135428,Photo,9,4,10,1,13856,37716,519,26832,9064,389,2,77,5,84
135428,Photo,9,4,2,1,10748,19724,892,13674,7624,704,8,485,64,557
135428,Photo,9,3,10,0,41984,68290,3370,34802,20928,2126,144,1622,208,1974
135428,Photo,9,3,2,1,2522,4583,455,3031,1674,333,6,99,16,121
135195,Photo,9,2,9,0,4480,8039,572,5014,2704,416,3,188,26,217
135195,Photo,9,2,2,0,1543,2874,360,2373,1228,267,2,30,6,38
135195,Status,9,1,10,0,21256,41906,4840,35455,17592,4318,38,163,27,228
135195,Photo,9,1,4,0,4484,7829,545,4208,2412,382,6,179,40,225
135195,Photo,9,7,3,0,4398,8105,584,4799,2616,431,5,204,34,243
135195,Status,9,6,10,1,13216,24738,2675,19599,10232,2342,2,165,22,189
135195,Photo,9,6,3,1,22304,37159,1805,22864,13304,1349,29,1047,98,1174
135195,Photo,9,5,11,0,6208,10830,644,6866,4016,495,2,234,40,276
135195,Photo,9,5,2,0,4518,8533,626,4215,2254,439,7,250,42,299
135195,Photo,9,4,10,0,3582,6518,537,3857,2124,404,4,154,36,194
134879,Status,9,4,4,1,9124,17776,1476,13887,7092,1331,20,150,29,199
134879,Photo,9,3,10,0,14152,38806,631,19409,6632,404,4,102,8,114
134879,Photo,9,3,2,1,4260,7989,588,4578,2432,436,1,226,44,271
134879,Video,9,2,10,0,30624,56950,2080,32033,15744,1376,6,345,121,472
134879,Photo,9,2,3,0,2363,4223,393,3332,1788,297,11,68,11,90
134879,Photo,9,1,10,0,2232,4005,374,3247,1740,278,0,62,10,72
134879,Photo,9,1,6,0,4048,7217,544,4046,2280,368,5,223,35,263
134879,Photo,9,7,10,0,1804,2968,330,2293,1354,234,0,61,6,67
134879,Photo,9,7,4,1,2351,4028,371,3112,1791,288,1,104,12,117
133679,Photo,9,2,10,0,3100,5388,518,3927,2274,367,3,146,15,164
133679,Photo,9,2,3,1,2360,4004,436,2757,1603,300,2,102,15,119
133679,Photo,8,1,10,0,19648,33643,1359,24034,13528,1020,9,766,43,818
133679,Photo,8,1,4,0,2295,3721,377,3121,1882,269,0,63,7,70
133594,Photo,8,7,10,1,3934,6330,512,5010,3082,384,3,113,17,133
133594,Photo,8,7,3,0,34512,76659,1666,54860,22816,1278,6,442,42,490
133594,Photo,8,6,10,0,5282,8730,703,5123,3244,470,9,278,43,330
133594,Photo,8,6,8,0,1809,3130,399,2541,1435,289,2,64,7,73
133594,Photo,8,5,13,0,1920,3124,365,2541,1519,251,1,52,7,60
133451,Photo,8,4,9,1,1954,3530,356,3295,1772,252,0,30,2,32
132817,Photo,8,4,10,0,33536,64850,1954,50076,24448,1564,33,1155,102,1290
132817,Photo,8,4,3,1,4204,7191,498,5161,2974,387,2,139,25,166
132817,Photo,8,3,9,0,3376,6557,428,5700,2806,331,0,40,5,45
132817,Status,8,3,2,1,9236,16054,1151,14014,7880,1075,2,53,15,70
132817,Photo,8,2,10,0,72864,205934,946,122474,30912,646,4,220,19,243
132817,Photo,8,2,3,0,3358,5682,394,4200,2426,298,2,114,16,132
132201,Photo,8,1,12,1,3254,5644,371,5069,2846,283,0,39,3,42
132201,Photo,8,1,3,0,50640,121234,2240,92348,34880,1790,4,859,68,931
132201,Photo,8,7,10,0,3734,6218,529,4831,2868,389,5,137,20,162
132201,Photo,8,7,3,0,2594,4220,347,3418,2067,248,1,54,11,66
132201,Photo,8,6,10,1,2232,3772,376,2205,1306,257,2,74,22,98
132201,Photo,8,6,3,1,22120,54734,979,46700,17528,796,6,98,3,107
132201,Photo,8,5,10,0,7980,12978,630,9342,5372,467,2,264,21,287
132201,Photo,8,5,1,0,1659,2845,345,1604,915,239,3,36,11,50
132201,Photo,8,4,11,1,1006,1594,277,1055,651,187,1,11,3,15
132201,Photo,8,4,3,1,12728,21685,844,15779,8844,657,4,435,31,470
131956,Photo,8,3,10,0,28880,64746,1062,40181,15808,740,2,114,10,126
131956,Photo,8,3,4,0,1330,2327,363,1475,827,230,2,17,9,28
131956,Status,8,2,12,0,14424,26000,304,25539,14056,291,41,15,1,57
131956,Photo,8,2,7,0,14200,26728,1393,25610,13376,1233,3,87,10,100
131956,Photo,8,1,12,0,5746,9874,769,7407,4288,584,16,227,28,271
131956,Photo,8,1,4,0,2540,4372,389,3655,2063,279,2,86,8,96
131956,Photo,8,7,10,0,4324,7241,548,4972,3008,401,6,179,27,212
131808,Status,8,7,4,0,8260,14305,997,12905,7360,956,1,74,11,86
131808,Status,8,6,10,1,20168,35904,3370,26881,15056,2806,18,332,54,404
131808,Photo,8,6,6,0,5046,9084,528,7723,4184,421,2,80,21,103
131808,Status,7,5,14,0,15296,25269,2827,22103,13296,2602,9,95,17,121
131728,Photo,7,5,8,1,3414,6369,473,4518,2390,360,3,188,26,217
131728,Photo,7,4,10,1,95424,252207,699,78287,22016,417,6,109,11,126
131728,Photo,7,4,3,0,14824,21863,868,13498,8560,650,64,367,25,456
131630,Photo,7,3,13,0,3504,5699,444,4487,2730,348,9,102,19,130
131630,Photo,7,2,23,0,2822,5058,424,3681,2020,327,2,113,20,135
131630,Photo,7,2,13,0,2973,5063,356,3764,2208,266,0,94,20,114
131630,Status,7,2,6,1,10824,20573,135,20030,10384,126,6,14,1,21
131630,Photo,7,1,11,0,4592,6691,320,3238,2100,222,1,43,10,54
131630,Photo,7,1,5,0,3176,5278,372,3993,2426,279,1,98,21,120
131300,Status,7,7,10,0,10956,19279,128,18838,10564,123,3,13,1,17
131300,Photo,7,7,4,0,10888,19744,913,14425,8048,722,12,237,45,294
131300,Photo,7,6,10,0,3594,6316,424,4319,2468,309,4,112,23,139
131300,Photo,7,6,2,0,3384,6166,451,4708,2508,344,2,101,25,128
130791,Photo,7,5,11,1,4096,7200,487,4911,2826,355,10,145,31,186
130791,Photo,7,5,3,0,19968,35161,1016,26701,14792,757,6,535,83,624
130791,Photo,7,4,11,0,4892,8499,536,7389,4206,428,4,118,22,144
130791,Status,7,4,6,0,17360,33613,2573,23338,11800,1905,9,484,79,572
130791,Video,7,3,11,1,21872,40413,3872,24667,12920,2218,18,315,76,409
130791,Photo,7,3,5,1,180480,319133,8072,108752,51456,3316,372,5172,790,6334
130791,Photo,7,2,13,0,44464,66824,1052,22904,14080,559,4,154,30,188
130791,Photo,7,2,8,0,2881,5188,550,3840,2040,323,0,73,15,88
129600,Photo,7,1,12,0,3460,6503,541,4371,2260,314,0,96,19,115
129600,Photo,7,1,6,0,3406,5656,571,4446,2598,355,1,98,19,118
129600,Photo,7,7,11,1,2602,4349,479,3342,1946,287,1,53,14,68
129600,Photo,7,7,6,1,5848,9068,622,6651,4212,383,4,71,10,85
129600,Photo,7,6,11,0,26944,43464,877,20270,10208,563,6,194,34,234
129600,Photo,7,6,5,0,5292,9321,756,5867,3404,516,6,226,42,274
129600,Status,7,5,12,1,15576,27513,2417,19078,10840,1839,11,238,51,300
129600,Photo,7,5,3,0,54256,82011,1620,42128,24224,977,10,755,58,823
129600,Photo,7,4,12,1,3726,6372,602,4760,2852,399,30,47,8,85
129600,Photo,7,4,6,1,31904,50539,863,24010,12992,583,2,126,32,160
129600,Photo,7,3,13,1,40336,65309,1407,27771,14848,907,4,104,10,118
129600,Photo,7,3,1,0,4220,7774,685,4404,2326,407,10,167,26,203
129600,Photo,7,2,13,0,4666,8360,729,5010,2818,459,9,152,41,202
129600,Photo,7,2,7,1,4274,7948,701,5936,3164,460,0,128,15,143
129600,Photo,7,1,13,0,28208,41650,964,18035,11120,636,13,234,43,290
128032,Photo,7,1,3,0,3330,5461,513,3675,2196,307,2,61,16,79
128032,Photo,7,7,11,1,3528,5918,550,4606,2660,360,0,66,9,75
128032,Photo,7,7,3,0,38576,55398,1355,17365,12624,827,7,529,60,596
128032,Photo,7,6,13,1,2628,4264,528,3086,1846,328,3,42,10,55
128032,Photo,7,6,3,0,7232,12735,758,8855,4712,471,2,75,24,101
128032,Status,7,5,10,0,10188,16978,1473,14450,8536,1395,13,61,13,87
128032,Photo,7,5,3,0,6408,11881,909,7243,4040,490,26,162,7,195
128032,Photo,7,4,9,1,3414,6050,515,5005,2704,340,2,47,4,53
128032,Photo,7,4,5,1,53056,65260,2003,23679,17104,975,6,696,28,730
128032,Photo,7,3,10,1,66976,111502,1191,40203,19968,708,7,215,47,269
127082,Photo,7,3,3,1,76096,94644,2889,31096,19744,1276,22,534,31,587
126424,Photo,7,4,12,0,5458,9098,1007,5307,3204,537,1,143,27,171
126424,Photo,7,4,3,0,3706,6194,895,4700,2726,493,18,46,7,71
126424,Status,7,3,13,0,18320,31448,3742,25584,14920,3300,36,98,14,148
126424,Photo,7,3,4,1,2316,3611,722,2545,1529,372,0,25,5,30
126424,Video,6,2,13,0,139008,277100,1779,107502,38720,1008,23,204,44,271
126345,Photo,6,2,9,1,5854,11854,1043,5901,2894,583,11,202,5,218
126345,Photo,6,2,3,0,109056,191324,2552,48765,25024,1353,7,148,39,194
126345,Photo,6,1,12,0,3212,4908,735,3399,2162,375,1,40,8,49
126345,Photo,6,1,4,0,3046,4909,909,3559,2126,477,1,71,17,89
126345,Status,6,7,11,0,12044,20327,2240,17717,10400,2119,0,104,13,117
126141,Photo,6,7,4,1,9652,16968,1400,15917,8972,1035,1,34,4,39
126141,Photo,6,6,12,0,28112,47721,1631,41207,23440,1225,11,129,12,152
126141,Status,6,6,4,0,8628,14847,870,11970,6796,774,4,72,18,94
126141,Photo,6,5,11,1,2431,4180,389,3963,2301,342,0,15,3,18
126141,Photo,6,4,22,1,20560,24112,936,5648,3856,460,14,102,9,125
126141,Photo,6,4,12,0,20896,29062,1418,19738,13656,998,103,469,33,605
125612,Photo,6,4,11,0,2402,4072,170,3147,1794,137,5,57,5,67
125612,Photo,6,4,7,0,1729,3289,596,2888,1406,340,0,23,2,25
125612,Photo,6,4,3,0,4320,7127,753,4569,2782,459,5,141,26,172
125612,Photo,6,3,11,0,2585,4410,569,3802,2144,348,0,19,5,24
125612,Photo,6,3,3,0,3322,5969,610,4111,2236,375,1,71,23,95
125612,Photo,6,2,13,0,3600,5807,691,3351,2110,436,0,72,21,93
125612,Photo,6,2,2,0,11620,21564,1160,20024,10568,920,5,54,7,66
125612,Photo,6,1,14,0,4248,7004,724,5063,3114,501,5,93,19,117
125612,Photo,6,1,3,0,2763,4388,564,3519,2124,375,0,62,10,72
125612,Photo,6,7,11,0,3558,5396,621,3708,2392,403,0,78,16,94
124940,Photo,6,7,4,0,8324,14480,840,13786,7736,662,0,14,1,15
124940,Photo,6,6,9,0,6952,11469,909,7431,4292,646,11,231,43,285
124940,Photo,6,6,2,1,2823,4955,552,3579,1966,348,1,72,16,89
124940,Photo,6,5,13,1,63840,102620,1382,32470,16480,760,9,197,28,234
124940,Photo,6,5,3,1,11608,15323,985,8419,5840,594,4,330,29,363
124940,Photo,6,4,12,0,58304,80871,884,2289,1408,340,0,148,7,155
124940,Photo,6,4,2,0,4762,8303,842,6086,3494,569,2,208,28,238
124940,Photo,6,3,13,0,6150,10217,750,6253,3742,445,12,148,28,188
124940,Photo,6,3,3,1,4644,8178,768,5651,3144,506,4,154,26,184
124940,Photo,6,2,13,0,22464,29650,1029,9376,6864,546,3,142,18,163
124940,Photo,6,2,3,0,3754,6295,791,4343,2590,482,8,107,20,135
124940,Photo,6,1,13,0,4452,7998,666,7037,3768,397,0,22,3,25
124940,Photo,6,1,3,0,3576,5525,664,4229,2672,403,2,84,13,99
124940,Photo,6,7,10,0,3028,4794,579,3574,2184,349,2,59,12,73
124940,Photo,6,7,3,1,4022,6503,647,5416,3312,423,3,65,14,82
124940,Photo,6,6,12,1,52736,73584,1635,18580,10144,876,0,24,4,28
124940,Photo,6,6,4,0,47376,70212,1557,22710,13344,697,9,186,23,218
123047,Photo,6,5,12,0,3234,5113,756,3476,2174,347,0,58,17,75
123047,Photo,6,5,3,0,3322,5553,702,3484,1968,328,2,74,14,90
123047,Photo,6,4,13,0,6768,11525,768,7048,4012,408,2,180,44,226
123047,Photo,6,4,5,1,11304,20647,1141,14792,7800,732,18,168,49,235
123047,Photo,6,3,11,0,13544,18474,759,7326,4120,408,0,36,5,41
123047,Photo,6,2,13,0,3418,5659,581,4491,2620,327,2,51,6,59
123047,Photo,6,2,5,1,3662,6476,560,4930,2660,319,2,67,14,83
123047,Photo,6,1,10,0,56672,104966,2579,78678,37408,1831,20,1372,47,1439
123047,Photo,6,1,3,1,3294,5499,526,4658,2710,305,2,57,6,65
121540,Photo,6,1,3,0,3110,5405,732,4605,2540,342,2,33,10,45
121540,Photo,5,7,14,0,3806,6486,722,4955,2772,361,1,79,17,97
120050,Photo,5,5,9,1,3776,6736,577,4846,2614,371,3,97,22,122
120050,Photo,5,4,12,0,39040,55633,1684,32021,19712,1101,16,617,58,691
120050,Photo,5,4,4,1,4032,7278,684,4935,2644,432,7,139,34,180
120050,Photo,5,3,12,0,21248,34095,1049,11280,6664,536,20,199,32,251
119198,Photo,5,3,5,0,4344,8025,692,4911,2528,367,1,107,26,134
119198,Photo,5,2,12,0,2718,4698,566,3601,1992,306,0,50,10,60
119198,Photo,5,2,1,0,3024,5630,596,4114,2098,341,0,64,20,84
119198,Status,5,1,2,0,10152,17099,1636,15382,8980,1613,2,55,10,67
119198,Photo,5,7,2,0,4708,8090,678,4664,2690,390,1,142,37,180
119198,Photo,5,6,14,0,2772,4642,526,3353,1943,305,2,72,9,83
119198,Photo,5,6,6,0,2812,4954,536,3382,1853,323,4,79,16,99
119198,Photo,5,5,10,1,6460,11373,823,6279,3612,505,25,244,44,313
117764,Photo,5,4,10,0,18056,32576,1062,26514,14728,701,25,307,58,390
117764,Photo,5,4,4,0,5016,8745,679,5904,3322,488,6,212,36,254
117764,Photo,5,3,11,0,3528,6181,470,4249,2352,322,2,95,17,114
117764,Photo,5,2,11,0,6444,11509,734,7910,4136,512,5,194,33,232
117764,Photo,5,1,13,1,4458,7753,491,5493,3106,340,6,101,29,136
117764,Link,5,1,2,0,12540,19301,344,16914,11008,289,3,46,14,63
117764,Photo,5,7,13,1,4362,7378,604,5681,3216,469,3,156,20,179
117764,Photo,5,7,2,0,38960,65149,2298,57722,34368,1978,37,821,90,948
117764,Photo,5,6,13,0,3144,5067,392,3586,2148,271,1,58,13,72
117764,Photo,5,6,8,1,4336,7705,574,5156,2752,403,12,155,23,190
117764,Photo,5,5,13,0,81856,124753,3000,52477,27392,1756,45,1639,122,1806
